temperature,air_pressure,same_day_rain,next_day_rain,relative_humidity,wind_direction,wind_speed,cloud_height,cloud_density,month,day,daylight,lightning,air_quality
medium,increasing,dry,dry,low,south,high,no_cloud,no_cloud,october,monday,sunny,no_lightning,bad
high,increasing,dry,dry,high,south,no_wind,no_cloud,no_cloud,july,friday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,august,monday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,no_wind,low,low,october,sunday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,high,high,high,february,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,south,high,high,high,july,friday,cloudy,no_lightning,medium
cold,increasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,april,sunday,sunny,no_lightning,bad
high,increasing,deluge,dry,high,west,high,low,low,july,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,august,wednesday,sunny,high,bad
high,increasing,dry,dry,low,east,low,no_cloud,no_cloud,august,saturday,sunny,high,bad
medium,decreasing,drizzle,drizzle,low,west,high,high,high,may,tuesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,west,no_wind,low,low,april,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,west,low,low,high,march,monday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,south,low,high,high,december,saturday,cloudy,no_lightning,bad
high,increasing,drizzle,deluge,high,south,high,high,low,july,thursday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,february,monday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,north,low,high,high,october,tuesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,west,high,high,low,april,wednesday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,low,low,high,january,monday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,south,low,high,low,december,monday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,high,south,high,no_cloud,no_cloud,october,monday,sunny,no_lightning,good
cold,increasing,dry,dry,low,south,high,high,high,may,friday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,may,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,low,no_cloud,no_cloud,may,tuesday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,low,low,low,september,friday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,south,no_wind,low,high,august,sunday,cloudy,no_lightning,bad
medium,increasing,drizzle,drizzle,high,south,no_wind,low,high,december,thursday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,no_wind,high,high,april,wednesday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,high,high,high,january,monday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,west,no_wind,high,high,march,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,west,no_wind,no_cloud,no_cloud,december,friday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,south,low,no_cloud,no_cloud,may,thursday,sunny,no_lightning,medium
cold,increasing,dry,dry,low,west,high,no_cloud,no_cloud,november,thursday,sunny,no_lightning,bad
high,decreasing,dry,drizzle,low,west,no_wind,low,high,july,thursday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,october,thursday,sunny,no_lightning,bad
high,increasing,dry,dry,high,west,high,no_cloud,no_cloud,june,wednesday,sunny,high,bad
medium,decreasing,dry,drizzle,low,west,high,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,no_wind,no_cloud,no_cloud,september,tuesday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,no_wind,low,high,june,sunday,cloudy,no_lightning,good
cold,decreasing,drizzle,deluge,low,north,low,high,low,october,wednesday,cloudy,no_lightning,bad
cold,increasing,drizzle,deluge,high,south,low,low,high,december,sunday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,south,no_wind,high,high,april,wednesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,deluge,low,north,low,high,high,august,tuesday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,west,no_wind,high,low,november,thursday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,south,no_wind,low,high,march,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,west,low,no_cloud,no_cloud,november,friday,sunny,no_lightning,bad
high,increasing,dry,dry,low,north,high,no_cloud,no_cloud,june,saturday,sunny,high,bad
cold,decreasing,drizzle,deluge,high,north,low,low,low,april,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,deluge,high,east,high,high,low,november,saturday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,high,low,high,october,friday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,august,friday,sunny,no_lightning,bad
high,increasing,dry,drizzle,low,south,high,low,high,july,friday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,east,high,low,low,june,thursday,sunny,high,bad
cold,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,west,no_wind,no_cloud,no_cloud,september,wednesday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,high,high,low,april,friday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,high,low,high,july,wednesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,no_wind,low,high,december,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,no_cloud,no_cloud,december,saturday,sunny,no_lightning,medium
medium,decreasing,dry,deluge,high,east,high,no_cloud,no_cloud,october,thursday,sunny,no_lightning,bad
high,decreasing,dry,drizzle,low,south,high,no_cloud,no_cloud,august,sunday,sunny,no_lightning,bad
cold,increasing,deluge,drizzle,low,east,high,low,low,march,thursday,sunny,no_lightning,bad
cold,increasing,drizzle,deluge,high,north,low,high,low,january,saturday,sunny,no_lightning,bad
high,increasing,dry,dry,high,west,low,no_cloud,no_cloud,june,monday,sunny,no_lightning,medium
medium,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,june,wednesday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,low,high,low,june,wednesday,cloudy,low,bad
cold,decreasing,dry,deluge,high,north,high,no_cloud,no_cloud,april,wednesday,sunny,no_lightning,bad
medium,increasing,drizzle,drizzle,high,north,high,high,low,february,tuesday,cloudy,no_lightning,good
cold,decreasing,dry,drizzle,low,north,high,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,north,low,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,east,high,no_cloud,no_cloud,may,wednesday,sunny,no_lightning,bad
medium,increasing,dry,deluge,high,south,low,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,no_wind,low,low,may,thursday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,north,high,low,low,november,friday,cloudy,no_lightning,bad
medium,increasing,deluge,dry,high,north,high,low,high,january,friday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,north,high,high,high,august,monday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,low,low,low,october,tuesday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,high,west,high,no_cloud,no_cloud,january,thursday,sunny,no_lightning,bad
medium,increasing,deluge,dry,high,east,low,high,low,june,sunday,sunny,no_lightning,bad
high,increasing,dry,dry,low,north,low,no_cloud,no_cloud,july,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,drizzle,high,north,low,low,high,september,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,low,low,high,april,sunday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,low,high,low,june,friday,sunny,no_lightning,good
cold,decreasing,dry,drizzle,low,north,high,high,high,december,sunday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,low,east,no_wind,low,low,august,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,low,high,high,november,friday,cloudy,low,bad
cold,increasing,drizzle,deluge,high,south,high,high,low,december,friday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,low,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,november,thursday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,west,low,low,low,december,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,low,high,high,september,saturday,cloudy,no_lightning,bad
medium,decreasing,deluge,drizzle,high,south,no_wind,low,low,may,tuesday,cloudy,no_lightning,medium
medium,increasing,drizzle,deluge,high,west,low,high,high,december,saturday,cloudy,no_lightning,bad
medium,increasing,drizzle,deluge,high,south,no_wind,high,low,march,monday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,east,high,no_cloud,no_cloud,january,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,east,no_wind,low,high,may,thursday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,high,low,high,april,saturday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,no_wind,low,low,january,friday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,high,south,no_wind,high,high,december,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,no_wind,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,low,high,high,november,friday,cloudy,no_lightning,good
medium,increasing,drizzle,dry,low,east,low,high,high,march,tuesday,cloudy,no_lightning,good
high,decreasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,august,sunday,sunny,high,bad
medium,increasing,dry,dry,low,south,low,no_cloud,no_cloud,september,friday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,south,low,low,low,august,monday,cloudy,high,bad
medium,decreasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,march,friday,sunny,no_lightning,bad
cold,decreasing,drizzle,deluge,low,south,high,high,low,december,sunday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,no_wind,no_cloud,no_cloud,october,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,drizzle,low,north,high,low,low,september,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,south,high,low,high,december,wednesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,north,high,no_cloud,no_cloud,february,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,south,low,low,high,september,saturday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,low,no_cloud,no_cloud,april,tuesday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,high,low,high,december,friday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,high,high,low,april,sunday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,no_wind,high,high,may,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,high,high,high,may,saturday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,low,low,high,may,saturday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,low,high,low,november,monday,sunny,no_lightning,bad
high,decreasing,deluge,deluge,high,west,no_wind,high,low,august,sunday,sunny,no_lightning,good
medium,increasing,dry,dry,low,north,low,no_cloud,no_cloud,february,thursday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,east,low,no_cloud,no_cloud,january,tuesday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,west,high,low,low,february,tuesday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,high,south,no_wind,no_cloud,no_cloud,april,saturday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,high,high,low,july,sunday,cloudy,no_lightning,bad
high,increasing,dry,dry,high,north,low,no_cloud,no_cloud,august,thursday,sunny,no_lightning,good
medium,increasing,dry,dry,low,north,low,high,high,march,monday,cloudy,no_lightning,bad
high,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,june,wednesday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,low,low,high,december,saturday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,west,low,low,high,january,monday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,north,high,low,high,july,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,south,low,high,low,august,thursday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,high,low,march,wednesday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,high,high,high,july,saturday,cloudy,no_lightning,bad
high,decreasing,dry,deluge,high,east,low,no_cloud,no_cloud,june,thursday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,high,no_cloud,no_cloud,february,sunday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,no_wind,high,low,december,sunday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,east,low,low,low,august,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,may,friday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,east,no_wind,low,high,july,saturday,cloudy,high,bad
cold,increasing,dry,dry,low,south,no_wind,high,high,march,sunday,cloudy,no_lightning,bad
cold,increasing,drizzle,dry,low,south,high,low,low,february,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,low,high,high,november,thursday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,west,low,low,low,october,monday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,high,low,high,april,thursday,cloudy,no_lightning,bad
medium,increasing,drizzle,deluge,high,east,no_wind,high,low,april,friday,sunny,no_lightning,good
medium,decreasing,drizzle,drizzle,low,south,no_wind,high,high,november,thursday,sunny,no_lightning,good
medium,decreasing,deluge,deluge,high,south,low,low,high,april,sunday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,south,high,no_cloud,no_cloud,november,thursday,sunny,low,bad
medium,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,march,monday,sunny,no_lightning,medium
medium,decreasing,deluge,deluge,high,north,low,low,low,october,saturday,cloudy,no_lightning,bad
cold,decreasing,drizzle,deluge,low,north,high,low,low,january,sunday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,south,high,no_cloud,no_cloud,april,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,east,low,low,high,january,saturday,cloudy,no_lightning,bad
medium,decreasing,drizzle,deluge,high,east,no_wind,low,high,december,wednesday,cloudy,no_lightning,good
high,decreasing,drizzle,drizzle,low,east,low,high,high,july,saturday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,low,west,low,low,high,july,monday,cloudy,high,bad
cold,decreasing,dry,drizzle,low,north,no_wind,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
high,increasing,drizzle,deluge,high,east,low,high,high,june,saturday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,high,no_cloud,no_cloud,april,tuesday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,high,high,low,january,monday,cloudy,no_lightning,bad
medium,increasing,drizzle,deluge,high,north,high,low,high,december,monday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,low,high,low,march,thursday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,high,no_cloud,no_cloud,march,saturday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,north,low,low,high,july,thursday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,low,low,low,march,friday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,low,low,low,june,monday,sunny,high,bad
cold,decreasing,drizzle,drizzle,low,north,no_wind,high,high,february,monday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,no_wind,no_cloud,no_cloud,september,monday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,north,high,high,low,may,wednesday,cloudy,low,bad
cold,increasing,dry,dry,low,west,high,no_cloud,no_cloud,may,friday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,west,low,low,high,september,sunday,cloudy,no_lightning,bad
medium,increasing,drizzle,drizzle,high,north,no_wind,low,low,december,friday,cloudy,no_lightning,bad
medium,increasing,drizzle,drizzle,high,east,high,low,high,december,thursday,cloudy,no_lightning,medium
medium,decreasing,dry,deluge,high,south,high,no_cloud,no_cloud,september,sunday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,south,high,high,high,july,saturday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,high,low,low,december,sunday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,no_wind,no_cloud,no_cloud,october,friday,sunny,no_lightning,bad
cold,decreasing,deluge,drizzle,high,east,high,low,low,february,sunday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,no_wind,high,low,november,sunday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,east,high,low,high,august,thursday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,east,no_wind,no_cloud,no_cloud,may,tuesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,south,high,no_cloud,no_cloud,february,sunday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,low,high,low,october,friday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,low,high,low,july,friday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,december,tuesday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,east,low,low,high,june,wednesday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,west,low,no_cloud,no_cloud,july,monday,sunny,no_lightning,bad
high,increasing,drizzle,dry,low,south,high,high,low,june,sunday,cloudy,no_lightning,medium
cold,decreasing,dry,drizzle,high,north,high,no_cloud,no_cloud,may,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,no_wind,low,high,july,sunday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,high,low,october,friday,sunny,no_lightning,bad
medium,increasing,deluge,dry,high,south,low,low,high,march,saturday,cloudy,no_lightning,good
medium,increasing,dry,dry,low,north,no_wind,no_cloud,no_cloud,february,saturday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,high,high,low,june,tuesday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,high,low,high,june,saturday,cloudy,no_lightning,medium
medium,decreasing,dry,deluge,high,north,high,no_cloud,no_cloud,december,sunday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,march,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,west,high,no_cloud,no_cloud,may,wednesday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,low,low,low,november,saturday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,high,low,high,december,tuesday,sunny,low,bad
high,increasing,dry,dry,low,west,no_wind,no_cloud,no_cloud,july,friday,sunny,low,bad
medium,increasing,dry,dry,low,east,low,low,low,november,sunday,cloudy,no_lightning,medium
medium,increasing,dry,dry,low,east,low,low,low,april,tuesday,sunny,no_lightning,bad
medium,increasing,dry,drizzle,low,north,low,low,high,september,saturday,cloudy,no_lightning,bad
medium,decreasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,april,sunday,sunny,no_lightning,bad
cold,decreasing,deluge,drizzle,low,south,high,low,high,january,monday,cloudy,no_lightning,bad
cold,increasing,dry,drizzle,low,east,no_wind,high,high,october,thursday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,west,no_wind,low,high,march,wednesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,high,west,high,no_cloud,no_cloud,december,wednesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,south,high,low,low,april,wednesday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,east,high,high,high,november,tuesday,cloudy,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,east,no_wind,low,high,may,monday,cloudy,no_lightning,good
medium,increasing,dry,dry,low,south,high,high,high,september,friday,sunny,no_lightning,bad
high,increasing,dry,dry,high,west,no_wind,no_cloud,no_cloud,july,monday,sunny,no_lightning,medium
medium,increasing,dry,drizzle,high,west,no_wind,no_cloud,no_cloud,january,wednesday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,may,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,february,monday,sunny,no_lightning,medium
cold,increasing,dry,dry,low,east,low,high,high,october,friday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,no_wind,low,high,march,thursday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,no_wind,high,low,october,friday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,no_wind,high,high,october,thursday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,north,low,no_cloud,no_cloud,july,sunday,sunny,no_lightning,bad
cold,decreasing,deluge,deluge,high,west,high,high,high,march,tuesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,low,high,low,january,monday,sunny,no_lightning,bad
high,decreasing,drizzle,drizzle,low,west,high,low,low,july,wednesday,cloudy,low,bad
cold,decreasing,dry,drizzle,low,east,low,no_cloud,no_cloud,april,saturday,sunny,no_lightning,bad
medium,increasing,dry,drizzle,high,west,no_wind,no_cloud,no_cloud,february,tuesday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,west,low,low,high,december,friday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,january,saturday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,north,no_wind,no_cloud,no_cloud,april,saturday,sunny,no_lightning,bad
medium,decreasing,drizzle,deluge,low,west,high,low,low,september,tuesday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,east,low,low,low,october,monday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,west,no_wind,no_cloud,no_cloud,september,sunday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,high,south,high,low,high,september,thursday,cloudy,no_lightning,medium
medium,increasing,dry,dry,low,east,no_wind,no_cloud,no_cloud,july,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,west,low,no_cloud,no_cloud,march,tuesday,sunny,no_lightning,bad
cold,increasing,drizzle,drizzle,high,east,high,low,high,may,sunday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,october,friday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,high,low,low,march,monday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,west,no_wind,high,low,november,tuesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,east,no_wind,low,low,july,friday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,east,low,low,high,september,saturday,cloudy,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,low,low,april,tuesday,cloudy,no_lightning,bad
medium,increasing,dry,dry,low,north,high,high,high,april,tuesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,no_wind,low,low,december,thursday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,north,no_wind,high,high,june,friday,cloudy,no_lightning,good
medium,decreasing,dry,drizzle,low,west,high,no_cloud,no_cloud,september,thursday,sunny,no_lightning,bad
medium,decreasing,drizzle,drizzle,low,south,no_wind,low,high,january,sunday,cloudy,no_lightning,bad
medium,increasing,deluge,dry,high,west,high,high,low,february,saturday,sunny,no_lightning,bad
medium,increasing,drizzle,drizzle,high,east,low,low,low,september,tuesday,cloudy,no_lightning,bad
medium,increasing,drizzle,dry,high,south,low,high,high,june,friday,cloudy,no_lightning,bad
medium,increasing,dry,dry,high,north,no_wind,no_cloud,no_cloud,march,monday,sunny,no_lightning,bad
cold,decreasing,dry,drizzle,low,south,high,high,low,january,wednesday,cloudy,low,bad
medium,decreasing,dry,deluge,high,west,low,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
high,increasing,drizzle,dry,high,south,low,low,high,june,friday,cloudy,no_lightning,good
high,decreasing,dry,deluge,high,east,no_wind,no_cloud,no_cloud,july,tuesday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,east,low,low,low,december,thursday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,south,no_wind,high,low,may,thursday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,south,low,no_cloud,no_cloud,april,monday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,low,high,high,november,wednesday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,high,east,high,no_cloud,no_cloud,may,saturday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,north,no_wind,no_cloud,no_cloud,february,sunday,sunny,no_lightning,bad
high,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,august,wednesday,sunny,high,bad
cold,decreasing,deluge,deluge,high,north,no_wind,high,low,september,friday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,south,no_wind,high,low,september,thursday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,high,no_cloud,no_cloud,january,friday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,east,high,low,high,april,thursday,cloudy,no_lightning,bad
high,decreasing,drizzle,drizzle,low,south,high,high,high,july,saturday,cloudy,no_lightning,good
cold,decreasing,dry,deluge,high,south,no_wind,no_cloud,no_cloud,april,sunday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,low,low,low,may,monday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,low,west,low,low,high,june,wednesday,sunny,no_lightning,good
medium,decreasing,drizzle,drizzle,low,north,high,low,low,february,sunday,sunny,no_lightning,bad
cold,increasing,dry,dry,low,north,low,no_cloud,no_cloud,march,tuesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,south,no_wind,no_cloud,no_cloud,november,saturday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,high,low,high,january,thursday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,east,high,high,high,june,tuesday,cloudy,no_lightning,bad
high,increasing,drizzle,dry,high,north,low,high,low,july,wednesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,low,low,high,february,tuesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,north,low,high,low,february,thursday,sunny,no_lightning,bad
cold,increasing,drizzle,drizzle,high,north,low,high,high,october,friday,cloudy,no_lightning,bad
medium,decreasing,dry,deluge,high,west,no_wind,no_cloud,no_cloud,march,sunday,sunny,no_lightning,bad
cold,decreasing,drizzle,deluge,low,west,low,high,low,december,thursday,sunny,no_lightning,bad
medium,increasing,drizzle,dry,high,west,high,high,low,october,sunday,cloudy,no_lightning,bad
high,increasing,drizzle,deluge,high,south,no_wind,high,low,july,wednesday,sunny,no_lightning,medium
medium,decreasing,dry,drizzle,low,north,low,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,good
medium,increasing,dry,dry,high,west,high,no_cloud,no_cloud,may,monday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,april,wednesday,sunny,no_lightning,bad
cold,increasing,dry,dry,high,east,low,no_cloud,no_cloud,october,thursday,sunny,no_lightning,bad
